file.uid;lat.garmin.dms;long.garmin.dms;measure_status;chapitre;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.neg.length1_mm;cal.value1;cal.neg.length2_mm;cal.value2;cal.neg.length3_mm;cal.value3;long.fil.cm;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;distance.m;out.long.tuyau.sol.cm;pt.haut.cm;pt.bas1.cm;pt.bas2.cm;pt.bas3.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;x.archive.cal.station_id;x.archive.cal.length.cm;x.archive.2.neg.cal.OUI.length_mm;x.archive.cal.value;x.archive.cal.order;x.archive.measure_type
22224392_20251210;47,62304;-64,82764;verified;ch2;INK;INK.pasMare.D2.m1m.2025;INK.pasMare.D2;NA;22224392;HOBO U20L;;;NA;;;;139,8;mesure bulleur 2 impacté prise de données sonde à11h?;2025-05-24 14:00;2025-11-13 10:00;-1;30,5;30,5;0;0;0;33,5;-33,5;2025-05-26;09:00:01;AP;93,5;-93,5;2025-07-21;11:00:01;AP;58,25;-58,25;2025-11-13;10:40:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22220787_20251128;46,70617;-71,06416;verifed;ch2;STH;STH.D2.m1m.2025.bis;STH.D2;;22220787;HOBO U20L;;;NA;;;;188;Pour valider les mesures des ODYSSEY / out 27 nov. 2025 = 28cm moyenne;2025-05-03 17:00;2025-11-27 11:00;-1;28,6;28,6;0;0;0;33,5;-33,5;2025-07-30;13:42:01;"AG;AP";53,5;-53,5;2025-09-18;15:15:00;AG;48;-48;2025-10-16;11:25:00;AG;30;-30;2025-11-27;10:12:00;AG;10248;;NA;NA;NA;NA
22063143_20251202;47,62704;-64,8336;verified;ch3;INK;INK.ch3.berms.2.2025;INK.ch3.brms;NA;22063143;HOBO U20L;;;NA;;;;155,5;berm vs sprdd echanger ?;2025-05-30 15:00;2025-11-13 13:00;NA;21,5;21,5;0;0;0;34,6;-34,6;2025-07-21;14:09:01;"AP;AG";163;-163;2025-11-13;12:07:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
41376_20241125;NA;NA;rejected;ch2;STH;STH.A2.m1m.2024;STH.A2;NA;41376;ODYSSEY;-800;1647;-200;2749;;;80;Pris l'eau;NA;NA;-1;28,6;-103,4;-132,6;-130,8;-132,6;36;-36;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;80;NA;1647;1;calibration
41366_20241125;NA;NA;approved;ch2;STH;STH.D3.30m.2024;STH.D3;NA;41366;ODYSSEY;-800;1537;-200;2435;-374,3875278;2174;80;;2024-06-13 15:00;2024-11-14 11:00;30;24,07;60;35,6;37;35,2;41,5;-41,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;1537;1;calibration
41370_20241125;NA;NA;approved;ch2;STH;STH.D3.7m.2024;STH.D3;NA;41370;ODYSSEY;-800;1639;-200;2716;-415,5988858;2329;80;;2024-06-13 15:00;2024-11-14 11:00;7;30,53;-29,8;-56,6;-61,6;-62,8;44;-44;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;1639;1;calibration
42565_20241125;NA;NA;approved;ch2;STH;STH.C.10m.2024;STH.C;NA;42565;ODYSSEY;-1400;1858;-200;3693;-428,2288828;3344;140;;2024-06-13 15:00;2024-11-14 11:00;20;22,73;8,4;-13,4;-14,2;-15,4;46;-46;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;140;NA;1858;1;calibration
22224394_20251210;47,62257;-64,82867;verified;ch2;INK;INK.pasMare.D1.p30m.2025;INK.pasMare.D1;NA;22224394;HOBO U20L;;;NA;;;;133,6;;2025-05-29 13:00;2025-11-14 11:00;30;19,4;19,4;0;0;0;46,2;-46,2;2025-05-29;08:00:01;AP;80,5;-80,5;2025-07-21;11:38:01;AP;91,25;-91,25;2025-11-13;11:10:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
22224399_20251210;47,62262;-64,82816;verified;ch2;INK;INK.pasMare.A1.p30m.2025;INK.pasMare.A1;NA;22224399;HOBO U20L;;;NA;;;;128,2;;2025-05-29 14:00;2025-11-14 10:00;30;27;27;0;0;0;46,8;-46,8;2025-05-29;08:00:01;AP;76,8;-76,8;2025-07-21;11:18:01;AP;75;-75;2025-11-13;10:52:00;AG;NA;NA;NA;NA;NA;6915;;NA;NA;NA;NA
41379_20241125;NA;NA;approved;ch2;STH;STH.A2.30m.2024;STH.A2;NA;41379;ODYSSEY;-800;1662;-200;2742;-448,3333333;2295;80;;2024-06-13 15:00;2024-11-14 11:00;30;22,27;64,4;41,2;43,4;41,8;47,5;-47,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;1662;1;calibration
