file.uid;lat.garmin.dms;long.garmin.dms;measure_type;measure_status;chapitre;site.uid;well.uid;trmnt.uid;lab.probe.id;probe.uid;probe.brand;cal.length.cm;long.fil.cm;cal.order;long_negative_cal.length_mm;cal.value;comment;day.begining.aaaa.mm.dd.hh.mm;day.end.aaaa.mm.dd.hh.mm;distance.m;out.long.tuyau.sol.cm;pt.haut.cm;pt.bas1.cm;pt.bas2.cm;pt.bas3.cm;in.bulleur1.prof.cm;in.bulleur1.rel.to.surface.cm;in.bulleur1.date.aaaammdd;in.bulleur1.time.tz.orig;in.bulleur1.obs;in.bulleur2.prof.cm;in.bulleur2.rel.to.surface.cm;in.bulleur2.date.aaaammdd;in.bulleur2.time.tz.orig;in.bulleur2.obs;in.bulleur3.prof.cm;in.bulleur3.rel.to.surface.cm;in.bulleur3.date.aaaammdd;in.bulleur3.time.tz.orig;in.bulleur3.obs;in.bulleur4.prof.cm;in.bulleur4.rel.to.surface.cm;in.bulleur4.date.aaaammdd;in.bulleur4.time.tz.orig;in.bulleur4.obs;x.archive.cal.station_id
41359_20241125;NA;NA;calibration;approved;ch2;STH;STH.C.m1m.2024;STH.C;NA;41359;ODYSSEY;20;80;2;NA;3000;;2024-06-13 15:00;2024-11-13 11:00;-1;30,53;-109,6;-138,6;-142,4;-139,4;25,5;-25,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41359_20241125;NA;NA;offset_measurement;approved;ch2;STH;STH.C.m1m.2024;STH.C;NA;41359;ODYSSEY;NA;80;NA;NA;2851;;2024-06-13 15:00;2024-11-13 11:00;-1;30,53;-109,6;-138,6;-142,4;-139,4;25,5;-25,5;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41387_20241125;NA;NA;calibration;approved;ch2;STH;STH.D3.m1m.2024;STH.D3;NA;41387;ODYSSEY;80;80;1;NA;1638;;2024-06-13 15:00;2024-11-14 11:00;-1;31,87;-92;-124,2;-124,2;-123,2;29;-29;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41387_20241125;NA;NA;calibration;approved;ch2;STH;STH.D3.m1m.2024;STH.D3;NA;41387;ODYSSEY;20;80;2;NA;2759;;2024-06-13 15:00;2024-11-14 11:00;-1;31,87;-92;-124,2;-124,2;-123,2;29;-29;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41387_20241125;NA;NA;offset_measurement;approved;ch2;STH;STH.D3.m1m.2024;STH.D3;NA;41387;ODYSSEY;NA;80;NA;NA;2552;;2024-06-13 15:00;2024-11-14 11:00;-1;31,87;-92;-124,2;-124,2;-123,2;29;-29;2024-11-14;10:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22224392_20251210;47,62304;-64,82764;NA;verified;ch2;INK;INK.pasMare.D2.m1m.2025;INK.pasMare.D2;NA;22224392;HOBO U20L;;139,8;NA;NA;NA;mesure bulleur 2 impacté prise de données sonde à11h?;2025-05-24 14:00;2025-11-13 10:00;-1;30,5;30,5;0;0;0;33,5;-33,5;2025-05-26;09:00:01;AP;93,5;-93,5;2025-07-21;11:00:01;AP;58,25;-58,25;2025-11-13;10:40:00;AG;NA;NA;NA;NA;NA;6915
22220787_20251128;46,70617;-71,06416;NA;verifed;ch2;STH;STH.D2.m1m.2025.bis;STH.D2;;22220787;HOBO U20L;;188;NA;NA;NA;Pour valider les mesures des ODYSSEY / out 27 nov. 2025 = 28cm moyenne;2025-05-03 17:00;2025-11-27 11:00;-1;28,6;28,6;0;0;0;33,5;-33,5;2025-07-30;13:42:01;"AG;AP";53,5;-53,5;2025-09-18;15:15:00;AG;48;-48;2025-10-16;11:25:00;AG;30;-30;2025-11-27;10:12:00;AG;10248
22063143_20251202;47,62704;-64,8336;NA;verified;ch3;INK;INK.ch3.berms.2.2025;INK.ch3.brms;NA;22063143;HOBO U20L;;155,5;NA;NA;NA;berm vs sprdd echanger ?;2025-05-30 15:00;2025-11-13 13:00;NA;21,5;21,5;0;0;0;34,6;-34,6;2025-07-21;14:09:01;"AP;AG";163;-163;2025-11-13;13:07:00;AG;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6915
41370_20251203;46,70612;-71,06413;calibration;verified;ch2;STH;STH.D2.p2,5m.2025;STH.D2;;41370;ODYSSEY;80;80;1;-800;1630;2,5 m relatif à la crête dans le cas de STH;2025-05-03 17:00;2025-11-27 10:00;2,5;28,6;28,6;0;0;0;34,8;-34,8;2025-07-30;13:44:01;"AG;AP";42;-42;2025-10-16;11:30:00;AG;27,5;-27,5;2025-11-27;10:17:00;AG;NA;NA;NA;NA;NA;NA
41370_20251203;46,70612;-71,06413;calibration;verified;ch2;STH;STH.D2.p2,5m.2025;STH.D2;;41370;ODYSSEY;20;80;2;-200;2730;2,5 m relatif à la crête dans le cas de STH;2025-05-03 17:00;2025-11-27 10:00;2,5;28,6;28,6;0;0;0;34,8;-34,8;2025-07-30;13:44:01;"AG;AP";42;-42;2025-10-16;11:30:00;AG;27,5;27,5;2025-11-27;10:17:00;AG;NA;NA;NA;NA;NA;NA
